Gene stable ID	Transcript stable ID	Gene type
ENSG00000284532	ENST00000585070	miRNA
ENSG00000238933	ENST00000459194	misc_RNA
ENSG00000275693	ENST00000620386	misc_RNA
ENSG00000275451	ENST00000618314	miRNA
ENSG00000222870	ENST00000410938	snRNA
ENSG00000252023	ENST00000516214	snRNA
ENSG00000211579	ENST00000390224	miRNA
ENSG00000206663	ENST00000383936	misc_RNA
ENSG00000242893	ENST00000482700	misc_RNA
ENSG00000241074	ENST00000489529	misc_RNA
ENSG00000264763	ENST00000585286	miRNA
ENSG00000283867	ENST00000408840	miRNA
ENSG00000276872	ENST00000616048	pseudogene
ENSG00000207975	ENST00000385240	miRNA
ENSG00000252486	ENST00000516677	misc_RNA
ENSG00000200336	ENST00000363466	rRNA_pseudogene
ENSG00000238764	ENST00000458802	snoRNA
ENSG00000201724	ENST00000364854	misc_RNA
ENSG00000238875	ENST00000459176	misc_RNA
ENSG00000275424	ENST00000615205	misc_RNA
ENSG00000207024	ENST00000384297	misc_RNA
ENSG00000239504	ENST00000475692	misc_RNA
ENSG00000264881	ENST00000577266	miRNA
ENSG00000201884	ENST00000365014	misc_RNA
ENSG00000212580	ENST00000391278	snoRNA
ENSG00000277460	ENST00000614690	misc_RNA
ENSG00000276730	ENST00000616606	misc_RNA
ENSG00000201026	ENST00000364156	misc_RNA
ENSG00000202174	ENST00000365304	rRNA_pseudogene
ENSG00000252039	ENST00000516230	snRNA
ENSG00000200661	ENST00000363791	snoRNA
ENSG00000223198	ENST00000411266	snRNA
ENSG00000252759	ENST00000516950	misc_RNA
ENSG00000274234	ENST00000485099	misc_RNA
ENSG00000222220	ENST00000410288	misc_RNA
ENSG00000275568	ENST00000622253	protein_coding
ENSG00000207340	ENST00000384610	snRNA
ENSG00000200867	ENST00000363997	misc_RNA
ENSG00000277344	ENST00000516290	snRNA
ENSG00000252950	ENST00000517141	rRNA_pseudogene
ENSG00000244389	ENST00000491451	misc_RNA
ENSG00000199246	ENST00000362376	snRNA
ENSG00000275049	ENST00000610645	protein_coding
ENSG00000251976	ENST00000516167	misc_RNA
ENSG00000276804	ENST00000620820	protein_coding
ENSG00000264998	ENST00000580281	snRNA
ENSG00000276565	ENST00000617253	protein_coding
ENSG00000252079	ENST00000516270	snRNA
ENSG00000238419	ENST00000458818	snRNA
ENSG00000265753	ENST00000578948	misc_RNA
ENSG00000199440	ENST00000362570	misc_RNA
ENSG00000253085	ENST00000517276	scaRNA
ENSG00000252882	ENST00000517073	snRNA
ENSG00000201136	ENST00000364266	snRNA
ENSG00000199390	ENST00000362520	snoRNA
ENSG00000222990	ENST00000411058	snRNA
ENSG00000201633	ENST00000364763	misc_RNA
ENSG00000243871	ENST00000468140	misc_RNA
ENSG00000251958	ENST00000516149	snRNA
ENSG00000201882	ENST00000365012	snoRNA
ENSG00000222931	ENST00000410999	misc_RNA
ENSG00000212354	ENST00000391052	snRNA
ENSG00000199906	ENST00000363036	snRNA
ENSG00000266503	ENST00000579233	misc_RNA
ENSG00000201326	ENST00000364456	snoRNA
ENSG00000199226	ENST00000362356	snRNA
ENSG00000274500	ENST00000612234	misc_RNA
