Gene name	log2(TE)
HIST1H3H	7.43268705
HIST1H3B	6.369534643
HIST1H2AG	6.246887151
HIST1H2AH	6.237323898
HIST1H2BJ	5.855126131
HIST1H1C	5.625472318
HIST1H1E	5.561051663
HIST1H2AM	5.409588176
HIST1H4H	5.355385389
HNRNPL	4.195209995
HIST1H2BD	4.15540561
H2AFX	3.585463282
FOXK1	3.506756652
ACTB	3.396982905
CCND2	3.002136302
NOTCH1	2.954870625
COL4A2	2.852536066
SEZ6L2	2.841731232
COL2A1	2.777894894
DAG1	2.757226232
SPTAN1	2.747114739
ARHGAP1	2.702557048
HMGA1	2.687075302
MYH9	2.658659756
MAP1B	2.646812533
DDAH1	2.645271127
ZNF703	2.613838494
GATAD2B	2.584490337
TMEM201	2.532997129
SDK2	2.519867473
ZNF460	2.51475671
SH3PXD2B	2.506823673
RAVER1	2.501708231
POU2F1	2.459761114
CREB3L2	2.446090295
IGF2BP1	2.439069122
FREM2	2.423957878
CBL	2.40468456
SP1	2.395910101
FLNC	2.381283373
HCFC1	2.380309998
PDLIM5	2.378277723
ATP6V0C	2.374518758
MAP4	2.374385257
FOXO1	2.367024085
PLBD2	2.363185432
MIDN	2.337927288
ZYX	2.320388986
DACH1	2.319787421
MAP1A	2.318376115
SCAMP4	2.313660479
MARCKS	2.312669085
FASN	2.300627759
DDX6	2.295635018
TSC22D2	2.29363905
COL4A1	2.292859025
FSCN1	2.280523861
RFX1	2.256669456
JUP	2.246285628
ACTN4	2.23552911
KCTD12	2.226559983
BCORL1	2.221819013
FBN2	2.216104051
FAM117B	2.202621332
PXN	2.195682578
TLN1	2.192595894
GNL3L	2.191593446
SPTBN1	2.16932897
STRA13	2.146463089
TP53I13	2.139944677
FLNA	2.130760366
VCAN	2.10416973
LAMA1	2.102877181
SF3A2	2.102493994
NID2	2.098202314
DLX2	2.094947282
RBM14	2.091310688
SNRPD3	2.090727685
RAB11B	2.090219067
NID1	2.088066845
YWHAG	2.087300014
UPF1	2.081178404
DCAKD	2.078922926
FN1	2.075224281
ACOX1	2.067938169
BAG3	2.065955289
UBQLN2	2.06140634
TP53	2.057438598
YWHAZ	2.055554116
KLHL11	2.049113721
PNPO	2.046561522
SMARCA4	2.043107722
KHSRP	2.042111663
PTOV1	2.040381618
MAPK1IP1L	2.036683055
LAMP1	2.035586275
UBC	2.033040417
LIX1L	2.031921145
COL6A1	2.0311056
PTBP1	2.031046378
UBE2N	2.029624489
AKAP12	2.021650023
RBM42	2.017617933
STEAP3	2.013159981
AHNAK	2.010779839
VAMP3	2.009672361
LIMD1	2.00963213
PTPN23	2.008461579
SUSD5	2.00806943
NUP214	1.99806825
SAP130	1.996862393
VIM	1.994407872
C1orf198	1.993207638
NDUFS7	1.986789083
GATA6	1.984993675
PRKCSH	1.983174543
TSPYL1	1.979058491
CREBBP	1.976114332
ATP6V1A	1.973789916
GPI	1.973052113
CELF1	1.971261445
CLTC	1.969387834
UBA1	1.966586086
PFAS	1.965727983
PCBD1	1.946683327
CASP2	1.945269303
GNB1L	1.945041595
LIN7C	1.944301694
TPM3	1.936275591
ALDOA	1.935783126
CORO7	1.934429619
CHERP	1.934051053
GPC1	1.928446739
BCAT1	1.922216327
SP2	1.921785996
SF3A1	1.913670744
CCRN4L	1.910309306
SUFU	1.910300529
NCS1	1.909752681
ZNF574	1.909566534
RAB11FIP1	1.906249255
CDC42	1.897719788
NCAM1	1.894983829
YAP1	1.894914307
SCAND1	1.891718968
WNK2	1.891111327
SRRM2	1.89062971
VCL	1.887195792
ACTN1	1.883468258
S100A11	1.877797188
WBP2	1.87384543
COL4A6	1.872742373
PSMD11	1.867706147
XPNPEP3	1.865952775
TACC3	1.865807069
CTSD	1.864378403
MIF	1.863523487
