Gene name	log2(TE)HELA
PKD1	-8.30833903
ATF4	-7.846454742
HELZ2	-6.398031074
ZNF318	-6.079484784
MGAT5B	-6.018326648
RHBDD2	-5.913744267
LPPR2	-5.892570924
FASTK	-5.809695061
OBSCN	-5.802193217
PRR7	-5.802041122
RNF11	-5.77844223
ESCO1	-5.754887502
PCED1A	-5.73470962
TAPT1	-5.688250309
FBXO46	-5.533978572
AHRR	-5.495695163
FTL	-5.481748295
SPTBN1	-5.418575489
ZNF26	-5.361685804
ZNF664	-5.305656926
ENTPD4	-5.198174478
TET3	-5.184875343
SPEG	-5.177193002
ARHGAP21	-5.144469421
SLC10A3	-5.094147155
EMC8	-5.09309157
ARMC10	-5.01270359
PSKH1	-4.994748101
KIAA2026	-4.84419169
DENND4B	-4.789707056
RRBP1	-4.740391244
USB1	-4.628106992
TNC	-4.616548844
ZNF584	-4.549583213
TATDN2	-4.532647304
SLC35B3	-4.472487771
PPIP5K1	-4.454378391
CIC	-4.451094995
GOLGA8A	-4.434442898
TCTN1	-4.432959407
GPR137	-4.389118541
SLC9A8	-4.319599289
ARNTL2	-4.258734268
SOGA2	-4.23878686
PDCD2	-4.229756724
PDZD8	-4.150378027
ZBTB4	-4.091095311
FRAS1	-4.068171503
PLXNA3	-4.064550316
FTH1	-4.062893818
METRN	-4.05626822
SHROOM3	-3.983511877
ORAI2	-3.978220709
CTDNEP1	-3.954370602
LAMA3	-3.947018708
CCDC88C	-3.943416472
TCFL5	-3.936856017
PIGQ	-3.932885804
PLEC	-3.880693259
BTBD6	-3.877638717
ASPM	-3.873950922
GLTSCR1L	-3.871485259
RPL29	-3.867116137
ZBTB47	-3.815916936
C6orf62	-3.802298743
FLNB	-3.769625843
LRFN4	-3.75930714
GAS6	-3.741466986
RNPEPL1	-3.70443334
TRAF3	-3.69147421
ZNRF3	-3.684498174
ETAA1	-3.680217177
SCMH1	-3.671377253
PPP1R14B	-3.610322808
LPHN1	-3.561878888
YEATS2	-3.557556343
FAM200A	-3.540389465
ZNF668	-3.528779665
ZNF548	-3.516993577
TPRN	-3.512226887
ELFN2	-3.509013647
CELSR1	-3.498388143
CRLS1	-3.477520622
CCDC150	-3.456696651
SVIL	-3.455082218
NSMF	-3.420484766
GZF1	-3.412889033
C2CD3	-3.402786369
B4GALNT4	-3.389219515
CELSR3	-3.343283135
KIAA1109	-3.340022915
SPRED2	-3.309966483
MBTPS1	-3.287211889
LRFN1	-3.283792966
LMO7	-3.267214247
PANX2	-3.266218662
WDR90	-3.260866569
EVA1C	-3.260833498
PTPDC1	-3.228492621
PIEZO2	-3.206828215
CCNL2	-3.203964758
KMT2B	-3.191867554
KANK1	-3.183122304
POMGNT2	-3.181411488
ZFC3H1	-3.174925683
SH3BP2	-3.135159583
ZMYM6	-3.126947929
FAN1	-3.123923934
SGSM2	-3.122821863
RANBP2	-3.111946891
MAN2A2	-3.087462841
USP6NL	-3.074962058
MZF1	-3.072408496
TRAK2	-3.070743407
RPS6KA2	-3.061161804
GPBP1L1	-3.050030877
FAM179B	-3.031026896
ANKRD11	-3.025674922
ST6GALNAC6	-3.00655606
RPS6KB2	-2.985156153
EPN1	-2.979346329
MAST2	-2.969744862
SBNO2	-2.960561689
TBL1X	-2.960125202
SBF1	-2.958005911
RGMB	-2.953457414
OGFRL1	-2.945638914
WWP2	-2.934753975
FBN2	-2.925246854
TPST2	-2.920753249
SLC35E1	-2.918978991
CROCC	-2.915607813
COX7C	-2.906315806
MUTYH	-2.893834443
GBA2	-2.882333491
PCNXL3	-2.871968779
NKTR	-2.853693637
ZNF227	-2.848982018
RAB11FIP3	-2.842233927
