,test_id,gene_id
0,ENSG00000000003.14,ENSG00000000003.14
1,ENSG00000000005.5,ENSG00000000005.5
2,ENSG00000000419.12,ENSG00000000419.12
3,ENSG00000000457.13,ENSG00000000457.13
4,ENSG00000000460.16,ENSG00000000460.16
5,ENSG00000000938.12,ENSG00000000938.12
6,ENSG00000000971.15,ENSG00000000971.15
7,ENSG00000001036.13,ENSG00000001036.13
8,ENSG00000001084.12,ENSG00000001084.12
9,ENSG00000001167.14,ENSG00000001167.14
10,ENSG00000001460.17,ENSG00000001460.17
11,ENSG00000001461.16,ENSG00000001461.16
12,ENSG00000001497.16,ENSG00000001497.16
13,ENSG00000001561.6,ENSG00000001561.6
14,ENSG00000001617.11,ENSG00000001617.11
15,ENSG00000001626.15,ENSG00000001626.15
16,ENSG00000001629.9,ENSG00000001629.9
17,ENSG00000001630.16,ENSG00000001630.16
18,ENSG00000001631.15,ENSG00000001631.15
19,ENSG00000002016.17,ENSG00000002016.17
20,ENSG00000002079.14,ENSG00000002079.14
21,ENSG00000002330.13,ENSG00000002330.13
22,ENSG00000002549.12,ENSG00000002549.12
23,ENSG00000002586.19,ENSG00000002586.19
24,ENSG00000002586.19_PAR_Y,ENSG00000002586.19_PAR_Y
25,ENSG00000002587.9,ENSG00000002587.9
26,ENSG00000002726.20,ENSG00000002726.20
27,ENSG00000002745.12,ENSG00000002745.12
28,ENSG00000002746.14,ENSG00000002746.14
29,ENSG00000002822.15,ENSG00000002822.15
30,ENSG00000002834.17,ENSG00000002834.17
31,ENSG00000002919.14,ENSG00000002919.14
32,ENSG00000002933.8,ENSG00000002933.8
33,ENSG00000003056.7,ENSG00000003056.7
34,ENSG00000003096.14,ENSG00000003096.14
35,ENSG00000003137.8,ENSG00000003137.8
36,ENSG00000003147.18,ENSG00000003147.18
37,ENSG00000003249.13,ENSG00000003249.13
38,ENSG00000003393.14,ENSG00000003393.14
39,ENSG00000003400.14,ENSG00000003400.14
40,ENSG00000003402.19,ENSG00000003402.19
41,ENSG00000003436.15,ENSG00000003436.15
42,ENSG00000003509.15,ENSG00000003509.15
43,ENSG00000003756.16,ENSG00000003756.16
44,ENSG00000003987.13,ENSG00000003987.13
45,ENSG00000003989.17,ENSG00000003989.17
46,ENSG00000004059.10,ENSG00000004059.10
47,ENSG00000004139.13,ENSG00000004139.13
48,ENSG00000004142.11,ENSG00000004142.11
49,ENSG00000004399.12,ENSG00000004399.12
50,ENSG00000004455.16,ENSG00000004455.16
51,ENSG00000004468.12,ENSG00000004468.12
52,ENSG00000004478.7,ENSG00000004478.7
53,ENSG00000004487.16,ENSG00000004487.16
54,ENSG00000004534.14,ENSG00000004534.14
55,ENSG00000004660.14,ENSG00000004660.14
56,ENSG00000004700.15,ENSG00000004700.15
57,ENSG00000004766.16,ENSG00000004766.16
58,ENSG00000004776.12,ENSG00000004776.12
59,ENSG00000004777.18,ENSG00000004777.18
60,ENSG00000004779.9,ENSG00000004779.9
61,ENSG00000004799.7,ENSG00000004799.7
