Gene stable ID	Transcript length (including UTRs and CDS)
ENSG00000000003	3796
ENSG00000000005	1339
ENSG00000000419	1161
ENSG00000000457	6364
ENSG00000000460	4355
ENSG00000000938	2729
ENSG00000000971	6985
ENSG00000001036	2356
ENSG00000001084	3813
ENSG00000001167	3811
ENSG00000001460	6016
ENSG00000001461	5481
ENSG00000001497	5205
ENSG00000001561	4651
ENSG00000001617	3802
ENSG00000001626	6132
ENSG00000001629	6081
ENSG00000001630	3210
ENSG00000001631	4762
ENSG00000002016	2826
ENSG00000002079	5836
ENSG00000002330	1157
ENSG00000002549	2213
ENSG00000002586	1291
ENSG00000002587	8031
ENSG00000002726	3135
ENSG00000002745	3147
ENSG00000002746	9501
ENSG00000002822	2991
ENSG00000002834	4109
ENSG00000002919	2733
ENSG00000002933	2065
ENSG00000003056	2756
ENSG00000003096	5331
ENSG00000003137	4732
ENSG00000003147	2458
ENSG00000003249	2889
ENSG00000003393	6644
ENSG00000003400	5928
ENSG00000003402	14672
ENSG00000003436	7690
ENSG00000003509	2974
ENSG00000003756	5616
ENSG00000003987	3850
ENSG00000003989	7638
ENSG00000004059	1509
ENSG00000004139	10309
ENSG00000004142	2121
ENSG00000004399	7094
ENSG00000004455	3586
ENSG00000004468	5668
ENSG00000004478	3732
ENSG00000004487	3059
ENSG00000004534	4324
ENSG00000004660	3898
ENSG00000004700	3702
ENSG00000004766	5736
ENSG00000004776	1457
ENSG00000004777	4219
ENSG00000004779	885
ENSG00000004799	3576
ENSG00000004809	2033
ENSG00000004838	2896
ENSG00000004846	5811
ENSG00000004848	2876
ENSG00000004864	3192
ENSG00000004866	2899
ENSG00000004897	5801
ENSG00000004939	4958
ENSG00000004948	3829
ENSG00000004961	2277
ENSG00000004975	3018
ENSG00000005001	1386
ENSG00000005007	5348
ENSG00000005020	3998
ENSG00000005022	1274
ENSG00000005059	2278
ENSG00000005073	2295
ENSG00000005075	932
ENSG00000005100	5618
ENSG00000005102	2707
ENSG00000005108	10663
ENSG00000005156	8400
ENSG00000005175	4370
ENSG00000005187	3311
ENSG00000005189	2722
ENSG00000005194	2182
ENSG00000005206	3456
ENSG00000005238	5771
ENSG00000005243	895
